zone,date,population,day_of_week,is_weekend,is_poya,rainfall_mm,season,prev_volume_tons,waste_volume_tons,demand_level
Colombo,2026-02-09,750000,0,0,0,3.4,dry,728.59,655.05,HIGH
Colombo,2026-02-10,750000,1,0,0,3.7,dry,655.05,597.57,MEDIUM
Colombo,2026-02-11,750000,2,0,0,0.57,dry,597.57,578.32,MEDIUM
Colombo,2026-02-12,750000,3,0,0,0.16,dry,578.32,530.51,LOW
Colombo,2026-02-13,750000,4,0,0,3.55,dry,530.51,575.82,MEDIUM
Colombo,2026-02-14,750000,5,1,0,11.91,dry,575.82,639.51,MEDIUM
Colombo,2026-02-15,750000,6,1,0,7.04,dry,639.51,649.11,HIGH
Colombo,2026-02-16,750000,0,0,0,1.3,dry,649.11,599.84,MEDIUM
Colombo,2026-02-17,750000,1,0,0,0.88,dry,599.84,569.16,MEDIUM
Colombo,2026-02-18,750000,2,0,0,13.27,dry,569.16,579.93,MEDIUM
Colombo,2026-02-19,750000,3,0,0,10.26,dry,579.93,603.79,MEDIUM
Colombo,2026-02-20,750000,4,0,0,8.14,dry,603.79,621.73,MEDIUM
Colombo,2026-02-21,750000,5,1,0,11.32,dry,621.73,685.87,HIGH
Colombo,2026-02-22,750000,6,1,0,1.91,dry,685.87,710.59,HIGH
Colombo,2026-02-23,750000,0,0,0,2.79,dry,710.59,626.2,MEDIUM
Colombo,2026-02-24,750000,1,0,0,8.52,dry,626.2,519.67,LOW
Colombo,2026-02-25,750000,2,0,0,1.26,dry,519.67,550.8,MEDIUM
Colombo,2026-02-26,750000,3,0,0,0.64,dry,550.8,569.39,MEDIUM
Colombo,2026-02-27,750000,4,0,0,1.95,dry,569.39,561.28,MEDIUM
Colombo,2026-02-28,750000,5,1,0,3.66,dry,561.28,619.65,MEDIUM
Colombo,2026-03-01,750000,6,1,0,17.84,dry,619.65,719.22,HIGH
Colombo,2026-03-02,750000,0,0,0,16.41,dry,719.22,640.34,MEDIUM
Colombo,2026-03-03,750000,1,0,1,1.79,dry,640.34,704.71,HIGH
Colombo,2026-03-04,750000,2,0,0,1.68,dry,704.71,636.48,MEDIUM
Colombo,2026-03-05,750000,3,0,0,3.49,dry,636.48,587.32,MEDIUM
Colombo,2026-03-06,750000,4,0,0,0.26,dry,587.32,588.35,MEDIUM
Colombo,2026-03-07,750000,5,1,0,1.37,dry,588.35,654.45,HIGH
Colombo,2026-03-08,750000,6,1,0,0.78,dry,654.45,709.31,HIGH
Colombo,2026-03-09,750000,0,0,0,1.39,dry,709.31,635.7,MEDIUM
Colombo,2026-03-10,750000,1,0,0,5.58,dry,635.7,577.29,MEDIUM
Colombo,2026-03-11,750000,2,0,0,6.51,dry,577.29,591.64,MEDIUM
Colombo,2026-03-12,750000,3,0,0,2.29,dry,591.64,616.59,MEDIUM
Colombo,2026-03-13,750000,4,0,0,3.84,dry,616.59,628.7,MEDIUM
Colombo,2026-03-14,750000,5,1,0,0.47,dry,628.7,671.07,HIGH
Colombo,2026-03-15,750000,6,1,0,1.03,dry,671.07,735.26,HIGH
Colombo,2026-03-16,750000,0,0,0,0.21,dry,735.26,696.88,HIGH
Colombo,2026-03-17,750000,1,0,0,0.08,dry,696.88,654.26,HIGH
Colombo,2026-03-18,750000,2,0,0,3.59,dry,654.26,626.64,MEDIUM
Colombo,2026-03-19,750000,3,0,0,0.96,dry,626.64,560.17,MEDIUM
Colombo,2026-03-20,750000,4,0,0,5.87,dry,560.17,578.79,MEDIUM
Colombo,2026-03-21,750000,5,1,0,0.74,dry,578.79,651.72,HIGH
Colombo,2026-03-22,750000,6,1,0,2.09,dry,651.72,688.14,HIGH
Colombo,2026-03-23,750000,0,0,0,5.39,dry,688.14,640.96,MEDIUM
Colombo,2026-03-24,750000,1,0,0,8.5,dry,640.96,640.09,MEDIUM
Colombo,2026-03-25,750000,2,0,0,1.38,dry,640.09,672.71,HIGH
Colombo,2026-03-26,750000,3,0,0,0.49,dry,672.71,577.1,MEDIUM
Colombo,2026-03-27,750000,4,0,0,2.15,dry,577.1,603.29,MEDIUM
Colombo,2026-03-28,750000,5,1,0,6.47,dry,603.29,687.7,HIGH
Colombo,2026-03-29,750000,6,1,0,0.44,dry,687.7,753.1,HIGH
Colombo,2026-03-30,750000,0,0,0,0.88,dry,753.1,664.16,HIGH
Colombo,2026-03-31,750000,1,0,0,0.05,dry,664.16,637.16,MEDIUM
Colombo,2026-04-01,750000,2,0,1,0.53,dry,637.16,754.71,HIGH
Colombo,2026-04-02,750000,3,0,0,5.89,dry,754.71,624.38,MEDIUM
Colombo,2026-04-03,750000,4,0,0,5.28,dry,624.38,614.1,MEDIUM
Colombo,2026-04-04,750000,5,1,0,1.35,dry,614.1,649.7,HIGH
Colombo,2026-04-05,750000,6,1,0,1.97,dry,649.7,718.67,HIGH
Colombo,2026-04-06,750000,0,0,0,9.46,dry,718.67,676.26,HIGH
Colombo,2026-04-07,750000,1,0,0,5.36,dry,676.26,594.98,MEDIUM
Colombo,2026-04-08,750000,2,0,0,2.29,dry,594.98,582.84,MEDIUM
Colombo,2026-04-09,750000,3,0,0,1.54,dry,582.84,597.38,MEDIUM
Colombo,2026-04-10,750000,4,0,0,4.99,dry,597.38,573.2,MEDIUM
Colombo,2026-04-11,750000,5,1,0,7.92,dry,573.2,729.93,HIGH
Colombo,2026-04-12,750000,6,1,0,3.39,dry,729.93,745.79,HIGH
Colombo,2026-04-13,750000,0,0,0,1.09,dry,745.79,627.06,MEDIUM
Colombo,2026-04-14,750000,1,0,0,0.12,dry,627.06,622.26,MEDIUM
Colombo,2026-04-15,750000,2,0,0,5.18,dry,622.26,588.89,MEDIUM
Colombo,2026-04-16,750000,3,0,0,17.0,dry,588.89,596.52,MEDIUM
Colombo,2026-04-17,750000,4,0,0,16.57,dry,596.52,566.78,MEDIUM
Colombo,2026-04-18,750000,5,1,0,2.43,dry,566.78,671.19,HIGH
Colombo,2026-04-19,750000,6,1,0,9.52,dry,671.19,683.33,HIGH
Colombo,2026-04-20,750000,0,0,0,4.07,dry,683.33,608.49,MEDIUM
Colombo,2026-04-21,750000,1,0,0,13.76,dry,608.49,603.21,MEDIUM
Colombo,2026-04-22,750000,2,0,0,0.51,dry,603.21,632.44,MEDIUM
Colombo,2026-04-23,750000,3,0,0,4.77,dry,632.44,627.21,MEDIUM
Colombo,2026-04-24,750000,4,0,0,6.75,dry,627.21,596.3,MEDIUM
Colombo,2026-04-25,750000,5,1,0,5.97,dry,596.3,639.34,MEDIUM
Colombo,2026-04-26,750000,6,1,0,1.74,dry,639.34,729.93,HIGH
Colombo,2026-04-27,750000,0,0,0,8.29,dry,729.93,654.78,HIGH
Colombo,2026-04-28,750000,1,0,0,12.22,dry,654.78,615.87,MEDIUM
Colombo,2026-04-29,750000,2,0,0,3.58,dry,615.87,629.61,MEDIUM
Colombo,2026-04-30,750000,3,0,1,5.25,dry,629.61,745.28,HIGH
Colombo,2026-05-01,750000,4,0,0,18.16,monsoon,745.28,660.42,HIGH
Colombo,2026-05-02,750000,5,1,0,6.19,monsoon,660.42,708.13,HIGH
Colombo,2026-05-03,750000,6,1,0,7.06,monsoon,708.13,735.26,HIGH
Colombo,2026-05-04,750000,0,0,0,0.55,monsoon,735.26,624.81,MEDIUM
Colombo,2026-05-05,750000,1,0,0,9.4,monsoon,624.81,543.35,MEDIUM
Colombo,2026-05-06,750000,2,0,0,13.4,monsoon,543.35,562.97,MEDIUM
Colombo,2026-05-07,750000,3,0,0,0.46,monsoon,562.97,537.62,MEDIUM
Colombo,2026-05-08,750000,4,0,0,11.08,monsoon,537.62,540.64,MEDIUM
Colombo,2026-05-09,750000,5,1,0,22.04,monsoon,540.64,586.33,MEDIUM
Colombo,2026-05-10,750000,6,1,0,1.34,monsoon,586.33,624.84,MEDIUM
Colombo,2026-05-11,750000,0,0,0,0.8,monsoon,624.84,660.86,HIGH
Colombo,2026-05-12,750000,1,0,0,15.22,monsoon,660.86,663.53,HIGH
Colombo,2026-05-13,750000,2,0,0,19.42,monsoon,663.53,613.44,MEDIUM
Colombo,2026-05-14,750000,3,0,0,5.85,monsoon,613.44,600.4,MEDIUM
Colombo,2026-05-15,750000,4,0,0,23.78,monsoon,600.4,510.8,LOW
Colombo,2026-05-16,750000,5,1,0,1.23,monsoon,510.8,570.21,MEDIUM
Colombo,2026-05-17,750000,6,1,0,0.39,monsoon,570.21,629.6,MEDIUM
Colombo,2026-05-18,750000,0,0,0,2.85,monsoon,629.6,642.77,MEDIUM
Colombo,2026-05-19,750000,1,0,0,2.55,monsoon,642.77,611.57,MEDIUM
Colombo,2026-05-20,750000,2,0,0,18.81,monsoon,611.57,541.69,MEDIUM
Colombo,2026-05-21,750000,3,0,0,16.19,monsoon,541.69,562.71,MEDIUM
Colombo,2026-05-22,750000,4,0,0,14.19,monsoon,562.71,609.05,MEDIUM
Colombo,2026-05-23,750000,5,1,0,8.16,monsoon,609.05,653.09,HIGH
Colombo,2026-05-24,750000,6,1,0,21.27,monsoon,653.09,593.07,MEDIUM
Colombo,2026-05-25,750000,0,0,0,0.22,monsoon,593.07,571.11,MEDIUM
Colombo,2026-05-26,750000,1,0,0,1.54,monsoon,571.11,619.45,MEDIUM
Colombo,2026-05-27,750000,2,0,0,10.15,monsoon,619.45,554.56,MEDIUM
Colombo,2026-05-28,750000,3,0,0,8.53,monsoon,554.56,555.57,MEDIUM
Colombo,2026-05-29,750000,4,0,0,7.63,monsoon,555.57,602.43,MEDIUM
Colombo,2026-05-30,750000,5,1,1,0.7,monsoon,602.43,874.51,HIGH
Colombo,2026-05-31,750000,6,1,0,7.04,monsoon,874.51,827.93,HIGH
Colombo,2026-06-01,750000,0,0,0,29.12,monsoon,827.93,691.73,HIGH
Colombo,2026-06-02,750000,1,0,0,16.12,monsoon,691.73,621.42,MEDIUM
Colombo,2026-06-03,750000,2,0,0,13.22,monsoon,621.42,593.67,MEDIUM
Colombo,2026-06-04,750000,3,0,0,42.26,monsoon,593.67,466.91,LOW
Colombo,2026-06-05,750000,4,0,0,15.46,monsoon,466.91,550.72,MEDIUM
Colombo,2026-06-06,750000,5,1,0,9.19,monsoon,550.72,659.42,HIGH
Colombo,2026-06-07,750000,6,1,0,7.32,monsoon,659.42,704.6,HIGH
Colombo,2026-06-08,750000,0,0,0,48.74,monsoon,704.6,556.51,MEDIUM
Colombo,2026-06-09,750000,1,0,0,5.76,monsoon,556.51,565.35,MEDIUM
Colombo,2026-06-10,750000,2,0,0,27.95,monsoon,565.35,490.03,LOW
Colombo,2026-06-11,750000,3,0,0,17.9,monsoon,490.03,516.27,LOW
Colombo,2026-06-12,750000,4,0,0,14.87,monsoon,516.27,549.57,MEDIUM
Colombo,2026-06-13,750000,5,1,0,24.4,monsoon,549.57,591.84,MEDIUM
Colombo,2026-06-14,750000,6,1,0,4.97,monsoon,591.84,679.26,HIGH
Colombo,2026-06-15,750000,0,0,0,24.66,monsoon,679.26,538.82,MEDIUM
Colombo,2026-06-16,750000,1,0,0,69.86,monsoon,538.82,445.32,LOW
Colombo,2026-06-17,750000,2,0,0,22.47,monsoon,445.32,419.19,LOW
Colombo,2026-06-18,750000,3,0,0,6.25,monsoon,419.19,534.52,MEDIUM
Colombo,2026-06-19,750000,4,0,0,21.07,monsoon,534.52,481.3,LOW
Colombo,2026-06-20,750000,5,1,0,1.63,monsoon,481.3,600.52,MEDIUM
Colombo,2026-06-21,750000,6,1,0,26.27,monsoon,600.52,628.05,MEDIUM
Colombo,2026-06-22,750000,0,0,0,5.79,monsoon,628.05,588.55,MEDIUM
Colombo,2026-06-23,750000,1,0,0,0.16,monsoon,588.55,599.54,MEDIUM
Colombo,2026-06-24,750000,2,0,0,35.37,monsoon,599.54,515.3,LOW
Colombo,2026-06-25,750000,3,0,0,44.95,monsoon,515.3,467.76,LOW
Colombo,2026-06-26,750000,4,0,0,45.12,monsoon,467.76,517.4,LOW
Colombo,2026-06-27,750000,5,1,0,8.93,monsoon,517.4,650.9,HIGH
Colombo,2026-06-28,750000,6,1,0,5.21,monsoon,650.9,731.6,HIGH
Colombo,2026-06-29,750000,0,0,1,20.94,monsoon,731.6,694.27,HIGH
Colombo,2026-06-30,750000,1,0,0,23.52,monsoon,694.27,545.88,MEDIUM
Colombo,2026-07-01,750000,2,0,0,3.99,dry,545.88,553.94,MEDIUM
Colombo,2026-07-02,750000,3,0,0,2.91,dry,553.94,549.53,MEDIUM
Colombo,2026-07-03,750000,4,0,0,0.62,dry,549.53,578.62,MEDIUM
Colombo,2026-07-04,750000,5,1,0,0.77,dry,578.62,673.41,HIGH
Colombo,2026-07-05,750000,6,1,0,0.53,dry,673.41,748.84,HIGH
Colombo,2026-07-06,750000,0,0,0,0.44,dry,748.84,643.48,MEDIUM
Colombo,2026-07-07,750000,1,0,0,8.63,dry,643.48,608.72,MEDIUM
Colombo,2026-07-08,750000,2,0,0,6.12,dry,608.72,618.08,MEDIUM
Colombo,2026-07-09,750000,3,0,0,14.71,dry,618.08,576.86,MEDIUM
Colombo,2026-07-10,750000,4,0,0,21.34,dry,576.86,494.03,LOW
Colombo,2026-07-11,750000,5,1,0,0.44,dry,494.03,645.76,MEDIUM
Colombo,2026-07-12,750000,6,1,0,7.51,dry,645.76,637.46,MEDIUM
Colombo,2026-07-13,750000,0,0,0,11.84,dry,637.46,644.14,MEDIUM
Colombo,2026-07-14,750000,1,0,0,0.59,dry,644.14,594.81,MEDIUM
Colombo,2026-07-15,750000,2,0,0,3.16,dry,594.81,578.53,MEDIUM
Colombo,2026-07-16,750000,3,0,0,0.29,dry,578.53,606.27,MEDIUM
Colombo,2026-07-17,750000,4,0,0,4.38,dry,606.27,606.06,MEDIUM
Colombo,2026-07-18,750000,5,1,0,16.37,dry,606.06,631.27,MEDIUM
Colombo,2026-07-19,750000,6,1,0,10.15,dry,631.27,662.67,HIGH
Colombo,2026-07-20,750000,0,0,0,1.27,dry,662.67,614.55,MEDIUM
Colombo,2026-07-21,750000,1,0,0,24.78,dry,614.55,557.33,MEDIUM
Colombo,2026-07-22,750000,2,0,0,0.38,dry,557.33,573.24,MEDIUM
Colombo,2026-07-23,750000,3,0,0,3.7,dry,573.24,569.4,MEDIUM
Colombo,2026-07-24,750000,4,0,0,4.96,dry,569.4,553.8,MEDIUM
Colombo,2026-07-25,750000,5,1,0,4.94,dry,553.8,694.18,HIGH
Colombo,2026-07-26,750000,6,1,0,4.39,dry,694.18,719.47,HIGH
Colombo,2026-07-27,750000,0,0,0,4.84,dry,719.47,668.45,HIGH
Colombo,2026-07-28,750000,1,0,1,1.62,dry,668.45,764.9,HIGH
Colombo,2026-07-29,750000,2,0,0,2.18,dry,764.9,625.59,MEDIUM
Colombo,2026-07-30,750000,3,0,0,4.38,dry,625.59,540.25,MEDIUM
Colombo,2026-07-31,750000,4,0,0,8.4,dry,540.25,561.57,MEDIUM
Colombo,2026-08-01,750000,5,1,0,5.77,dry,561.57,667.21,HIGH
Colombo,2026-08-02,750000,6,1,0,2.71,dry,667.21,748.61,HIGH
Colombo,2026-08-03,750000,0,0,0,13.5,dry,748.61,653.49,HIGH
Colombo,2026-08-04,750000,1,0,0,8.32,dry,653.49,600.06,MEDIUM
Colombo,2026-08-05,750000,2,0,0,21.82,dry,600.06,531.46,LOW
Colombo,2026-08-06,750000,3,0,0,2.4,dry,531.46,516.12,LOW
Colombo,2026-08-07,750000,4,0,0,17.52,dry,516.12,547.06,MEDIUM
Colombo,2026-08-08,750000,5,1,0,3.16,dry,547.06,645.84,MEDIUM
Colombo,2026-08-09,750000,6,1,0,2.68,dry,645.84,691.74,HIGH
Colombo,2026-08-10,750000,0,0,0,10.0,dry,691.74,625.56,MEDIUM
Colombo,2026-08-11,750000,1,0,0,8.38,dry,625.56,636.67,MEDIUM
Colombo,2026-08-12,750000,2,0,0,14.48,dry,636.67,608.37,MEDIUM
Colombo,2026-08-13,750000,3,0,0,9.47,dry,608.37,576.63,MEDIUM
Colombo,2026-08-14,750000,4,0,0,0.69,dry,576.63,524.59,LOW
Colombo,2026-08-15,750000,5,1,0,15.4,dry,524.59,586.59,MEDIUM
Colombo,2026-08-16,750000,6,1,0,5.57,dry,586.59,675.79,HIGH
Colombo,2026-08-17,750000,0,0,0,4.81,dry,675.79,595.86,MEDIUM
Colombo,2026-08-18,750000,1,0,0,5.57,dry,595.86,570.63,MEDIUM
Colombo,2026-08-19,750000,2,0,0,3.67,dry,570.63,569.8,MEDIUM
Colombo,2026-08-20,750000,3,0,0,9.56,dry,569.8,609.78,MEDIUM
Colombo,2026-08-21,750000,4,0,0,4.01,dry,609.78,615.01,MEDIUM
Colombo,2026-08-22,750000,5,1,0,2.58,dry,615.01,681.74,HIGH
Colombo,2026-08-23,750000,6,1,0,0.72,dry,681.74,757.32,HIGH
Colombo,2026-08-24,750000,0,0,0,1.2,dry,757.32,684.6,HIGH
Colombo,2026-08-25,750000,1,0,0,0.73,dry,684.6,574.87,MEDIUM
Colombo,2026-08-26,750000,2,0,0,2.88,dry,574.87,609.31,MEDIUM
Colombo,2026-08-27,750000,3,0,1,11.73,dry,609.31,738.01,HIGH
Colombo,2026-08-28,750000,4,0,0,7.65,dry,738.01,589.2,MEDIUM
Colombo,2026-08-29,750000,5,1,0,2.53,dry,589.2,689.83,HIGH
Colombo,2026-08-30,750000,6,1,0,14.93,dry,689.83,729.39,HIGH
Colombo,2026-08-31,750000,0,0,0,0.8,dry,729.39,645.53,MEDIUM
Colombo,2026-09-01,750000,1,0,0,4.48,monsoon,645.53,626.41,MEDIUM
Colombo,2026-09-02,750000,2,0,0,9.22,monsoon,626.41,594.28,MEDIUM
Colombo,2026-09-03,750000,3,0,0,5.98,monsoon,594.28,589.73,MEDIUM
Colombo,2026-09-04,750000,4,0,0,15.05,monsoon,589.73,572.66,MEDIUM
Colombo,2026-09-05,750000,5,1,0,2.07,monsoon,572.66,650.6,HIGH
Colombo,2026-09-06,750000,6,1,0,2.06,monsoon,650.6,666.56,HIGH
Colombo,2026-09-07,750000,0,0,0,6.36,monsoon,666.56,628.25,MEDIUM
Colombo,2026-09-08,750000,1,0,0,34.06,monsoon,628.25,593.63,MEDIUM
Colombo,2026-09-09,750000,2,0,0,2.84,monsoon,593.63,569.09,MEDIUM
Colombo,2026-09-10,750000,3,0,0,3.2,monsoon,569.09,542.86,MEDIUM
Colombo,2026-09-11,750000,4,0,0,1.39,monsoon,542.86,536.96,MEDIUM
Colombo,2026-09-12,750000,5,1,0,1.93,monsoon,536.96,591.85,MEDIUM
Colombo,2026-09-13,750000,6,1,0,6.79,monsoon,591.85,658.37,HIGH
Colombo,2026-09-14,750000,0,0,0,10.5,monsoon,658.37,607.57,MEDIUM
Colombo,2026-09-15,750000,1,0,0,24.1,monsoon,607.57,527.71,LOW
Colombo,2026-09-16,750000,2,0,0,14.83,monsoon,527.71,569.05,MEDIUM
Colombo,2026-09-17,750000,3,0,0,20.69,monsoon,569.05,491.75,LOW
Colombo,2026-09-18,750000,4,0,0,3.06,monsoon,491.75,511.73,LOW
Colombo,2026-09-19,750000,5,1,0,9.94,monsoon,511.73,583.14,MEDIUM
Colombo,2026-09-20,750000,6,1,0,14.45,monsoon,583.14,641.12,MEDIUM
Colombo,2026-09-21,750000,0,0,0,20.64,monsoon,641.12,479.98,LOW
Colombo,2026-09-22,750000,1,0,0,0.56,monsoon,479.98,545.18,MEDIUM
Colombo,2026-09-23,750000,2,0,0,33.84,monsoon,545.18,470.67,LOW
Colombo,2026-09-24,750000,3,0,0,10.75,monsoon,470.67,489.24,LOW
Colombo,2026-09-25,750000,4,0,0,8.9,monsoon,489.24,528.11,LOW
Colombo,2026-09-26,750000,5,1,1,11.41,monsoon,528.11,761.08,HIGH
Colombo,2026-09-27,750000,6,1,0,7.1,monsoon,761.08,735.62,HIGH
Colombo,2026-09-28,750000,0,0,0,0.3,monsoon,735.62,619.21,MEDIUM
Colombo,2026-09-29,750000,1,0,0,5.95,monsoon,619.21,572.45,MEDIUM
Colombo,2026-09-30,750000,2,0,0,1.91,monsoon,572.45,573.61,MEDIUM
Colombo,2026-10-01,750000,3,0,0,17.05,monsoon,573.61,593.67,MEDIUM
Colombo,2026-10-02,750000,4,0,0,23.35,monsoon,593.67,495.69,LOW
Colombo,2026-10-03,750000,5,1,0,11.55,monsoon,495.69,608.37,MEDIUM
Colombo,2026-10-04,750000,6,1,0,13.26,monsoon,608.37,660.86,HIGH
Colombo,2026-10-05,750000,0,0,0,2.05,monsoon,660.86,656.18,HIGH
Colombo,2026-10-06,750000,1,0,0,5.01,monsoon,656.18,648.59,HIGH
Colombo,2026-10-07,750000,2,0,0,12.69,monsoon,648.59,568.71,MEDIUM
Colombo,2026-10-08,750000,3,0,0,6.6,monsoon,568.71,566.38,MEDIUM
Colombo,2026-10-09,750000,4,0,0,4.06,monsoon,566.38,568.02,MEDIUM
Colombo,2026-10-10,750000,5,1,0,1.61,monsoon,568.02,637.17,MEDIUM
Colombo,2026-10-11,750000,6,1,0,2.63,monsoon,637.17,672.2,HIGH
Colombo,2026-10-12,750000,0,0,0,3.1,monsoon,672.2,594.05,MEDIUM
Colombo,2026-10-13,750000,1,0,0,34.06,monsoon,594.05,505.11,LOW
Colombo,2026-10-14,750000,2,0,0,1.25,monsoon,505.11,463.42,LOW
Colombo,2026-10-15,750000,3,0,0,60.58,monsoon,463.42,480.92,LOW
Colombo,2026-10-16,750000,4,0,0,1.78,monsoon,480.92,532.68,LOW
Colombo,2026-10-17,750000,5,1,0,30.09,monsoon,532.68,564.37,MEDIUM
Colombo,2026-10-18,750000,6,1,0,25.48,monsoon,564.37,562.79,MEDIUM
Colombo,2026-10-19,750000,0,0,0,16.57,monsoon,562.79,547.67,MEDIUM
Colombo,2026-10-20,750000,1,0,0,39.76,monsoon,547.67,557.04,MEDIUM
Colombo,2026-10-21,750000,2,0,0,4.93,monsoon,557.04,605.32,MEDIUM
Colombo,2026-10-22,750000,3,0,0,22.01,monsoon,605.32,509.64,LOW
Colombo,2026-10-23,750000,4,0,0,8.31,monsoon,509.64,507.89,LOW
Colombo,2026-10-24,750000,5,1,0,10.63,monsoon,507.89,602.57,MEDIUM
Colombo,2026-10-25,750000,6,1,1,14.15,monsoon,602.57,828.77,HIGH
Colombo,2026-10-26,750000,0,0,0,5.11,monsoon,828.77,663.6,HIGH
Colombo,2026-10-27,750000,1,0,0,9.84,monsoon,663.6,620.58,MEDIUM
Colombo,2026-10-28,750000,2,0,0,11.41,monsoon,620.58,587.36,MEDIUM
Colombo,2026-10-29,750000,3,0,0,2.17,monsoon,587.36,563.47,MEDIUM
Colombo,2026-10-30,750000,4,0,0,0.98,monsoon,563.47,546.06,MEDIUM
Colombo,2026-10-31,750000,5,1,0,17.16,monsoon,546.06,658.8,HIGH
Colombo,2026-11-01,750000,6,1,0,21.42,monsoon,658.8,611.68,MEDIUM
Colombo,2026-11-02,750000,0,0,0,7.96,monsoon,611.68,655.54,HIGH
Colombo,2026-11-03,750000,1,0,0,6.44,monsoon,655.54,613.79,MEDIUM
Colombo,2026-11-04,750000,2,0,0,3.0,monsoon,613.79,590.66,MEDIUM
Colombo,2026-11-05,750000,3,0,0,1.03,monsoon,590.66,590.31,MEDIUM
Colombo,2026-11-06,750000,4,0,0,27.66,monsoon,590.31,563.2,MEDIUM
Colombo,2026-11-07,750000,5,1,0,2.26,monsoon,563.2,630.56,MEDIUM
Colombo,2026-11-08,750000,6,1,0,2.68,monsoon,630.56,702.56,HIGH
Colombo,2026-11-09,750000,0,0,0,2.69,monsoon,702.56,647.81,HIGH
Colombo,2026-11-10,750000,1,0,0,11.11,monsoon,647.81,634.26,MEDIUM
Colombo,2026-11-11,750000,2,0,0,6.67,monsoon,634.26,590.78,MEDIUM
Colombo,2026-11-12,750000,3,0,0,25.44,monsoon,590.78,545.63,MEDIUM
Colombo,2026-11-13,750000,4,0,0,8.67,monsoon,545.63,535.04,MEDIUM
Colombo,2026-11-14,750000,5,1,0,5.38,monsoon,535.04,568.36,MEDIUM
Colombo,2026-11-15,750000,6,1,0,20.65,monsoon,568.36,540.77,MEDIUM
Colombo,2026-11-16,750000,0,0,0,34.48,monsoon,540.77,496.92,LOW
Colombo,2026-11-17,750000,1,0,0,7.26,monsoon,496.92,554.81,MEDIUM
Colombo,2026-11-18,750000,2,0,0,14.68,monsoon,554.81,561.35,MEDIUM
